items.name,items.quantity,items.price,storeLocation,customer.gender,purchaseMethod,saleDate
,,,Seattle,F,Phone,2015-04-21T11:35:55.339Z
,,,London,F,In store,2017-03-18T14:43:24.028Z
,,,New York,M,In store,2013-03-20T10:14:53.681Z
,,,Seattle,F,Phone,2013-04-08T23:03:45.030Z
,,,Denver,F,In store,2017-02-24T19:17:51.731Z
,,,London,M,In store,2013-01-17T17:44:45.354Z
,,,Denver,F,In store,2016-07-20T12:23:54.789Z
,,,Denver,F,In store,2015-05-25T06:42:30.172Z
,,,Seattle,F,In store,2015-05-07T04:48:15.135Z
,,,New York,F,In store,2017-08-02T23:52:19.398Z
,,,Seattle,M,In store,2017-06-09T10:45:25.962Z
,,,Austin,F,Phone,2015-03-22T04:00:36.462Z
,,,Seattle,F,In store,2015-02-19T01:13:23.364Z
,,,San Diego,F,Online,2016-01-29T14:52:56.951Z
,,,Austin,F,In store,2013-05-30T15:09:54.276Z
,,,Seattle,F,Online,2017-07-10T23:56:01.001Z
,,,Denver,M,In store,2017-10-19T06:34:38.034Z
,,,Denver,M,In store,2013-02-16T11:24:26.680Z
,,,Austin,F,Phone,2013-01-07T08:47:08.843Z
,,,San Diego,M,In store,2013-10-17T13:18:46.279Z
,,,London,M,In store,2016-11-10T05:40:15.043Z
,,,Austin,F,Online,2014-07-16T04:13:47.488Z
,,,Denver,M,Online,2013-06-17T23:25:50.447Z
,,,San Diego,F,Online,2014-12-14T05:03:43.574Z
,,,London,M,In store,2015-08-30T07:37:03.111Z
,,,Seattle,M,In store,2013-01-12T15:13:06.977Z
,,,Austin,M,Online,2016-03-22T12:23:49.489Z
,,,London,F,Online,2014-04-20T02:52:42.398Z
,,,Denver,F,Online,2013-03-22T13:42:38.100Z
,,,Denver,M,Online,2014-05-16T08:13:35.241Z
,,,Denver,F,In store,2015-09-09T05:06:02.106Z
,,,Seattle,M,Online,2017-04-09T21:55:38.343Z
,,,London,F,In store,2015-07-27T13:22:39.534Z
,,,Austin,M,Online,2014-04-18T00:36:37.045Z
,,,San Diego,M,Online,2017-08-17T00:40:46.374Z
,,,Seattle,F,In store,2013-11-12T20:48:23.930Z
,,,Seattle,M,In store,2013-01-10T01:10:15.493Z
,,,Denver,F,Online,2014-07-14T01:12:23.830Z
,,,Denver,F,Online,2016-09-29T21:06:04.999Z
,,,Denver,M,In store,2014-09-04T06:26:38.800Z
,,,San Diego,F,In store,2016-06-18T14:00:16.870Z
,,,New York,M,In store,2017-06-26T20:57:32.151Z
,,,New York,F,In store,2015-04-10T00:24:49.189Z
,,,Denver,M,Online,2015-06-23T15:48:03.615Z
,,,Seattle,M,Online,2017-12-25T02:46:36.050Z
,,,Seattle,F,In store,2016-12-26T18:51:43.177Z
,,,Seattle,M,Phone,2015-03-10T10:09:32.078Z
,,,Denver,F,Phone,2014-08-30T19:21:17.412Z
,,,Seattle,M,Online,2014-06-27T08:53:41.094Z
,,,London,M,Online,2015-01-27T18:23:15.509Z
,,,London,M,In store,2013-09-14T20:05:16.962Z
,,,San Diego,M,In store,2016-12-15T13:35:23.641Z
,,,Seattle,F,In store,2013-04-18T22:21:08.899Z
,,,San Diego,F,In store,2017-06-16T23:31:14.193Z
,,,Denver,M,In store,2014-10-23T13:21:36.386Z
,,,New York,F,Online,2015-01-03T15:29:56.282Z
,,,Denver,M,Online,2013-11-22T18:49:45.212Z
,,,Seattle,M,In store,2013-12-26T01:52:07.284Z
,,,Denver,F,In store,2013-10-28T04:30:35.709Z
,,,Denver,F,In store,2015-06-10T10:15:04.205Z
,,,San Diego,F,In store,2014-12-07T13:43:15.159Z
,,,Austin,M,Online,2013-09-30T09:15:22.891Z
,,,Seattle,F,In store,2015-10-08T05:38:44.916Z
,,,Denver,M,In store,2016-08-25T02:08:43.797Z
,,,Denver,M,In store,2013-04-26T08:22:04.973Z
,,,San Diego,F,In store,2014-02-22T18:29:39.958Z
,,,London,F,In store,2013-03-12T09:34:55.659Z
,,,London,F,In store,2014-05-29T13:32:20.539Z
,,,London,M,Online,2015-02-15T17:41:53.206Z
,,,Austin,M,In store,2015-01-31T10:38:13.836Z
,,,Denver,F,In store,2013-11-13T21:52:50.801Z
,,,Denver,M,Phone,2017-04-17T17:01:33.451Z
,,,London,F,Phone,2017-06-22T21:53:26.728Z
,,,Seattle,F,In store,2013-07-15T08:29:12.086Z
,,,San Diego,F,Phone,2013-05-21T08:47:29.877Z
,,,London,F,Phone,2016-04-29T22:50:50.967Z
,,,Denver,M,In store,2013-04-19T01:37:42.532Z
,,,Denver,M,Phone,2013-04-02T12:01:04.452Z
,,,London,F,In store,2013-11-08T15:01:32.331Z
,,,London,F,In store,2016-06-28T03:34:00.813Z
,,,Austin,M,Phone,2016-10-13T07:28:24.282Z
,,,Seattle,F,Online,2015-08-16T16:03:40.306Z
,,,London,M,In store,2015-10-20T16:40:43.714Z
,,,London,M,In store,2016-05-19T21:23:31.792Z
,,,Denver,F,In store,2013-07-31T04:18:22.544Z
,,,Austin,M,In store,2017-06-30T05:14:53.049Z
,,,Denver,M,Online,2014-12-17T15:42:59.111Z
,,,London,M,Phone,2014-12-09T18:26:43.468Z
,,,New York,M,Phone,2017-09-02T15:42:22.167Z
,,,Seattle,M,In store,2017-07-09T16:15:51.374Z
,,,London,F,In store,2013-02-13T14:07:15.955Z
,,,London,M,In store,2015-12-07T05:53:41.259Z
,,,Denver,F,In store,2015-10-04T13:29:39.959Z
,,,Seattle,M,In store,2013-04-26T10:43:13.402Z
,,,London,M,Online,2016-09-26T12:47:34.933Z
,,,Austin,F,Phone,2017-06-09T19:59:38.156Z
,,,Denver,F,Online,2014-01-12T11:13:05.252Z
,,,New York,F,In store,2014-12-17T12:56:41.403Z
,,,Denver,M,In store,2013-10-16T07:00:01.276Z
,,,London,F,In store,2016-09-30T05:04:16.846Z
,,,Denver,M,In store,2016-01-30T12:07:54.144Z
,,,New York,F,Phone,2015-03-06T19:13:35.155Z
,,,Denver,M,Phone,2016-07-31T06:37:33.326Z
,,,Seattle,M,Online,2016-11-02T14:20:05.542Z
,,,New York,M,Online,2017-04-04T03:50:36.177Z
,,,Denver,M,In store,2014-03-02T06:45:13.255Z
,,,Denver,F,In store,2014-10-02T01:34:33.763Z
,,,Austin,F,In store,2013-09-12T13:06:41.308Z
,,,Denver,M,Online,2016-06-02T07:06:50.532Z
,,,Seattle,F,In store,2016-05-09T13:27:18.043Z
,,,London,M,Phone,2016-12-19T11:40:14.132Z
,,,San Diego,M,Phone,2013-08-04T10:38:33.219Z
,,,Denver,M,Phone,2015-04-16T00:18:22.046Z
,,,Austin,F,Online,2016-01-11T20:50:24.760Z
,,,Seattle,M,In store,2017-02-23T06:07:44.124Z
,,,Austin,F,In store,2016-09-08T06:53:24.585Z
,,,London,M,Online,2014-08-16T22:35:32.771Z
,,,Seattle,M,Online,2016-01-02T14:27:48.827Z
,,,Denver,F,In store,2015-11-09T17:06:12.420Z
,,,Denver,M,In store,2013-06-03T15:42:49.232Z
,,,Austin,M,In store,2014-05-06T11:13:03.185Z
,,,New York,F,Phone,2015-10-14T23:25:30.610Z
,,,Denver,M,Online,2014-07-28T15:28:59.274Z
,,,Denver,F,Phone,2014-07-26T13:13:24.336Z
,,,Denver,F,In store,2013-10-28T04:28:53.739Z
,,,Seattle,M,Phone,2013-01-22T07:47:30.564Z
,,,Denver,F,Online,2015-07-22T15:50:58.013Z
,,,Seattle,M,In store,2015-06-10T06:28:21.993Z
,,,Austin,F,In store,2016-02-15T01:48:52.731Z
,,,Denver,M,Online,2013-07-26T18:06:11.111Z
,,,Denver,M,Online,2015-09-07T16:27:11.916Z
,,,Seattle,M,Online,2013-05-19T21:08:10.965Z
,,,Denver,F,Online,2014-10-07T02:33:35.048Z
,,,San Diego,F,In store,2013-01-14T23:38:18.934Z
,,,Austin,F,In store,2015-12-27T21:59:07.199Z
,,,London,F,Phone,2016-03-31T07:02:02.328Z
,,,London,M,Online,2016-08-15T15:41:39.260Z
,,,Denver,M,Online,2017-10-02T11:31:44.649Z
,,,London,F,Online,2013-06-04T11:32:39.163Z
,,,Denver,M,In store,2015-09-26T11:27:16.447Z
,,,London,M,In store,2013-05-18T12:08:01.712Z
,,,Seattle,M,In store,2014-01-15T16:35:47.993Z
,,,Seattle,M,In store,2013-08-28T08:43:34.725Z
,,,New York,F,Online,2016-12-04T18:02:07.520Z
,,,Denver,F,Phone,2016-08-08T05:55:12.028Z
,,,London,F,Online,2017-12-11T02:18:28.861Z
,,,Denver,F,Online,2014-01-21T03:40:45.655Z
,,,London,M,In store,2017-04-26T04:20:46.632Z
,,,New York,F,In store,2015-11-23T06:27:41.573Z
,,,Denver,M,In store,2013-08-09T19:32:36.185Z
,,,Denver,F,In store,2013-03-18T07:12:45.173Z
,,,Denver,M,Online,2015-12-10T02:10:31.924Z
,,,Seattle,M,Online,2013-03-01T13:10:43.474Z
,,,Seattle,M,Online,2017-07-06T21:31:43.274Z
,,,New York,F,In store,2017-05-19T22:22:20.915Z
,,,Seattle,M,Online,2015-07-10T06:41:15.727Z
,,,London,F,In store,2013-10-20T10:13:12.157Z
,,,Seattle,M,In store,2017-05-04T21:05:19.760Z
,,,Seattle,F,In store,2015-04-29T05:09:30.840Z
,,,Denver,F,Online,2013-09-04T17:35:29.831Z
,,,Denver,F,In store,2014-03-21T12:18:19.262Z
,,,Denver,M,In store,2015-05-14T19:23:19.887Z
,,,Denver,F,In store,2017-06-16T04:33:28.758Z
,,,Seattle,F,In store,2015-01-21T14:43:16.567Z
,,,Denver,M,Online,2017-04-14T18:53:34.341Z
,,,Denver,M,Online,2017-09-02T22:51:11.252Z
,,,Seattle,F,In store,2017-06-30T04:27:44.546Z
,,,New York,M,In store,2016-03-13T08:20:02.693Z
,,,Seattle,M,Phone,2013-02-06T13:52:53.296Z
,,,London,F,In store,2017-02-24T14:36:50.910Z
,,,Seattle,F,Online,2017-05-19T07:13:15.127Z
,,,Denver,F,In store,2013-09-10T14:05:24.790Z
,,,Denver,F,Online,2014-06-07T02:46:48.239Z
,,,Seattle,M,In store,2013-08-26T17:14:14.656Z
,,,Seattle,M,In store,2017-11-25T00:16:35.185Z
,,,Austin,F,Online,2014-03-15T21:35:51.519Z
,,,Denver,F,Phone,2013-05-12T20:04:38.915Z
,,,Denver,M,Online,2014-01-31T07:17:36.870Z
,,,Seattle,F,In store,2013-06-21T16:35:29.348Z
,,,Denver,M,Online,2015-07-17T20:58:20.349Z
,,,Seattle,F,Online,2013-06-28T14:33:49.012Z
,,,Austin,M,In store,2016-09-03T18:05:44.954Z
,,,London,M,Phone,2017-09-28T16:23:55.977Z
,,,Austin,M,Online,2015-10-09T10:57:23.855Z
,,,Denver,M,In store,2016-08-05T04:31:22.005Z
,,,Seattle,M,Online,2014-07-18T10:17:24.789Z
,,,London,F,In store,2013-02-24T15:44:08.600Z
,,,Denver,M,In store,2016-11-14T13:08:39.337Z
,,,Denver,M,In store,2014-06-03T05:48:46.147Z
,,,Denver,F,In store,2016-06-09T14:40:49.178Z
,,,New York,M,In store,2014-11-03T10:34:21.119Z
,,,Austin,F,Online,2015-07-16T13:04:23.277Z
,,,San Diego,M,In store,2016-01-10T07:51:39.834Z
,,,Austin,M,Online,2014-04-05T01:27:37.838Z
,,,Austin,M,In store,2017-11-18T00:19:26.593Z
,,,Denver,F,Phone,2016-01-20T11:44:16.479Z
,,,Denver,F,In store,2017-11-29T04:34:25.129Z
,,,Seattle,M,Online,2013-01-10T18:30:07.455Z
,,,Denver,F,Online,2017-08-03T14:52:08.610Z
,,,Denver,M,In store,2016-02-09T08:31:28.895Z
,,,Denver,F,In store,2014-02-11T20:40:49.786Z
,,,Seattle,M,In store,2013-08-25T22:04:11.735Z
,,,Austin,F,Phone,2015-05-23T06:10:27.641Z
,,,Seattle,M,In store,2016-11-21T23:05:57.255Z
,,,Denver,M,Online,2015-03-22T16:06:23.516Z
,,,Seattle,M,Phone,2015-05-21T18:07:51.301Z
,,,Seattle,F,Phone,2016-06-14T21:00:45.567Z
,,,London,F,In store,2013-01-08T22:07:38.888Z
,,,Austin,M,In store,2014-05-03T11:35:42.033Z
,,,Denver,M,Online,2015-03-14T12:32:51.547Z
,,,Seattle,M,Phone,2017-08-30T00:32:46.982Z
,,,New York,F,Online,2014-09-25T18:26:04.345Z
,,,Denver,M,Online,2017-03-25T20:55:25.909Z
,,,New York,F,In store,2014-05-15T05:13:33.134Z
,,,Seattle,F,In store,2014-11-18T16:23:18.714Z
,,,Denver,F,In store,2014-10-01T10:22:47.085Z
,,,Denver,M,In store,2013-08-03T03:21:38.925Z
,,,Austin,F,In store,2017-05-15T06:52:08.418Z
,,,London,F,Phone,2014-02-20T22:48:48.490Z
,,,Austin,F,In store,2017-06-25T08:26:45.622Z
,,,San Diego,M,Online,2013-06-24T10:26:18.052Z
,,,London,M,In store,2013-02-08T06:56:44.771Z
,,,Denver,M,Online,2014-08-13T16:59:46.370Z
,,,Austin,F,In store,2014-12-09T17:52:07.731Z
,,,San Diego,M,In store,2015-12-24T04:40:35.525Z
,,,London,M,In store,2017-09-08T14:24:15.480Z
,,,Denver,M,Phone,2013-11-30T22:00:44.420Z
,,,Austin,F,Online,2013-04-17T03:42:55.275Z
,,,Denver,M,In store,2016-05-30T18:49:42.591Z
,,,Seattle,M,Online,2015-12-23T10:17:44.707Z
,,,London,M,Online,2013-09-13T00:35:11.552Z
,,,London,F,Online,2015-01-20T07:52:40.537Z
,,,Austin,M,Online,2017-03-24T12:04:48.146Z
,,,New York,M,In store,2016-08-20T00:16:45.010Z
,,,London,M,In store,2013-12-04T07:57:09.171Z
,,,Seattle,M,Online,2015-08-01T16:37:08.513Z
,,,Seattle,F,In store,2013-10-26T01:43:15.696Z
,,,New York,F,Phone,2016-07-22T02:30:19.320Z
,,,Denver,F,Phone,2017-06-07T00:18:49.880Z
,,,Seattle,M,In store,2014-11-24T15:24:29.038Z
,,,Denver,F,In store,2016-11-06T14:32:02.912Z
,,,Seattle,F,In store,2013-05-01T23:33:49.281Z
,,,London,M,In store,2016-11-06T15:00:51.449Z
,,,Seattle,M,Online,2017-08-24T14:05:16.819Z
,,,London,M,Online,2013-08-02T11:40:06.847Z
,,,Denver,M,Online,2014-05-16T18:35:23.330Z
,,,Denver,M,In store,2013-07-01T11:02:57.824Z
,,,Denver,F,Online,2015-03-08T07:07:14.461Z
,,,Austin,F,In store,2014-06-18T17:53:34.002Z
,,,Denver,M,In store,2016-10-07T11:43:11.079Z
,,,London,M,In store,2016-08-10T19:45:02.866Z
,,,London,M,In store,2017-03-28T11:06:27.079Z
,,,London,M,Phone,2013-05-15T12:36:44.546Z
,,,London,M,In store,2016-11-29T10:55:49.462Z
,,,Denver,M,In store,2017-01-01T01:40:57.968Z
,,,New York,F,In store,2016-01-22T21:14:15.506Z
,,,Denver,M,In store,2017-08-24T03:39:44.403Z
,,,Denver,M,In store,2013-05-06T01:41:11.638Z
,,,Denver,F,Online,2016-09-04T15:33:28.725Z
,,,London,F,Phone,2015-03-06T21:34:45.089Z
,,,Denver,M,Phone,2013-09-24T20:55:04.369Z
,,,San Diego,F,In store,2015-12-10T10:40:23.007Z
,,,Seattle,F,In store,2013-01-21T15:42:34.372Z
,,,Austin,M,In store,2014-01-31T10:52:30.469Z
,,,Austin,M,In store,2013-09-27T09:03:41.026Z
,,,London,F,Phone,2014-11-30T18:03:06.614Z
,,,Austin,F,In store,2014-09-09T23:34:36.031Z
,,,Denver,M,Online,2016-08-14T18:50:56.650Z
,,,Austin,M,In store,2017-10-07T10:39:35.909Z
,,,Seattle,M,In store,2017-07-26T00:18:06.154Z
,,,New York,M,Online,2016-08-31T19:34:07.441Z
,,,Denver,F,In store,2017-07-31T14:23:49.632Z
,,,Austin,M,Online,2017-07-08T14:11:09.072Z
,,,San Diego,F,In store,2014-06-13T00:38:35.812Z
,,,Seattle,M,In store,2013-06-14T00:18:49.257Z
,,,New York,F,In store,2016-05-06T07:19:40.837Z
,,,London,M,In store,2016-12-01T17:59:30.109Z
,,,Austin,M,In store,2013-10-01T19:17:17.055Z
,,,New York,M,Online,2013-08-07T12:43:25.519Z
,,,London,F,In store,2017-11-30T04:30:45.691Z
,,,Denver,F,Online,2014-09-03T12:32:59.037Z
,,,Seattle,M,In store,2014-03-05T03:16:46.501Z
,,,New York,F,Phone,2017-09-03T13:00:23.539Z
,,,London,M,Online,2013-07-15T08:05:25.382Z
,,,Seattle,M,In store,2014-10-15T12:20:01.181Z
,,,Denver,M,In store,2013-01-06T01:14:19.899Z
,,,New York,M,In store,2017-10-02T18:22:59.759Z
,,,London,M,Phone,2015-03-23T10:49:50.798Z
,,,Austin,F,In store,2016-12-27T17:33:09.290Z
,,,Denver,M,In store,2016-05-13T06:17:45.517Z
,,,New York,M,In store,2014-09-12T06:13:34.103Z
,,,New York,M,In store,2017-03-21T10:51:15.014Z
,,,London,F,Online,2013-05-11T10:26:06.807Z
,,,Denver,F,In store,2017-12-15T19:26:39.387Z
,,,Seattle,M,Online,2015-10-25T15:58:28.540Z
,,,Denver,M,In store,2013-04-08T05:18:52.164Z
,,,London,F,Online,2013-10-07T15:01:10.511Z
,,,New York,F,Online,2014-06-29T03:20:27.887Z
,,,Austin,M,In store,2016-04-30T20:41:22.523Z
,,,London,F,Online,2014-02-27T06:48:25.027Z
,,,London,M,In store,2017-05-04T01:53:35.347Z
,,,Seattle,M,In store,2014-07-09T01:49:01.062Z
,,,Denver,M,In store,2013-07-29T03:29:19.648Z
,,,New York,F,In store,2015-01-17T09:17:20.055Z
,,,Austin,M,Phone,2015-04-24T16:49:45.492Z
,,,San Diego,M,In store,2014-03-28T19:58:13.519Z
,,,London,F,In store,2016-03-14T17:52:55.500Z
,,,San Diego,F,In store,2017-08-08T21:02:25.685Z
,,,Denver,M,In store,2017-04-28T10:58:12.358Z
,,,Seattle,F,In store,2014-07-30T10:23:52.802Z
,,,Denver,M,In store,2016-06-10T02:19:50.529Z
,,,London,F,Online,2014-06-04T10:17:21.624Z
,,,Seattle,M,In store,2017-08-19T16:31:59.132Z
,,,London,F,Online,2017-09-08T21:07:07.937Z
,,,Austin,M,In store,2014-09-22T18:14:32.435Z
,,,New York,F,Online,2014-07-25T13:46:44.914Z
,,,Seattle,F,In store,2016-07-09T06:37:26.601Z
,,,London,F,Phone,2017-02-04T17:58:04.489Z
,,,Seattle,F,Online,2016-11-17T16:34:25.186Z
,,,Seattle,F,In store,2014-05-25T11:18:32.818Z
,,,Denver,M,Online,2013-06-30T00:43:46.360Z
,,,Austin,F,Online,2017-05-17T18:40:22.752Z
,,,Seattle,F,Online,2016-03-19T20:02:51.918Z
,,,Austin,F,Online,2015-08-21T15:23:18.490Z
,,,New York,F,Online,2015-10-14T19:26:35.761Z
,,,Seattle,F,Online,2013-03-07T15:10:22.894Z
,,,Seattle,M,In store,2013-11-04T05:21:56.481Z
,,,Denver,F,In store,2016-03-31T07:36:01.626Z
,,,London,M,Online,2015-03-27T05:46:31.226Z
,,,London,M,In store,2013-12-30T15:54:27.956Z
,,,London,M,Online,2013-07-15T12:59:18.620Z
,,,Denver,F,In store,2013-01-02T02:34:42.505Z
,,,Austin,M,In store,2015-08-13T07:37:46.911Z
,,,Austin,M,Online,2016-12-06T06:10:15.264Z
,,,Denver,F,In store,2016-03-08T00:38:53.581Z
,,,Austin,F,In store,2017-12-06T15:05:43.851Z
,,,Seattle,F,In store,2015-02-23T16:27:13.846Z
,,,Denver,F,Online,2014-03-14T11:19:14.334Z
,,,Denver,M,In store,2016-06-13T20:45:53.506Z
,,,New York,F,Phone,2013-10-01T09:17:05.158Z
,,,Denver,M,Phone,2015-02-27T14:48:32.120Z
,,,Austin,M,Online,2013-05-14T14:42:44.384Z
,,,London,M,Online,2016-12-10T02:43:46.094Z
,,,Austin,M,In store,2016-04-29T23:53:07.837Z
,,,Seattle,F,In store,2013-04-24T22:01:05.294Z
,,,Austin,F,In store,2015-05-07T01:17:13.835Z
,,,Denver,F,In store,2017-05-02T04:06:46.021Z
,,,Austin,F,Online,2013-09-04T23:13:33.565Z
,,,Seattle,F,Phone,2016-02-07T06:16:17.834Z
,,,London,M,In store,2015-04-30T00:16:13.162Z
,,,London,M,In store,2015-08-25T09:19:30.888Z
,,,Denver,M,Online,2017-04-18T22:09:41.834Z
,,,London,F,Online,2017-08-23T01:58:21.219Z
,,,San Diego,M,Online,2013-04-06T08:47:42.174Z
,,,Denver,M,In store,2015-01-10T17:17:50.692Z
,,,Austin,M,Online,2016-12-30T23:23:09.399Z
,,,Seattle,F,Online,2016-04-16T10:37:35.874Z
,,,Denver,F,Online,2016-03-28T03:05:57.212Z
,,,Seattle,F,In store,2016-08-01T09:55:25.939Z
,,,Austin,M,In store,2017-04-11T06:32:16.356Z
,,,Austin,F,In store,2016-10-02T05:37:03.971Z
,,,London,M,In store,2017-01-20T02:17:06.484Z
,,,London,M,Online,2017-06-16T23:21:36.238Z
,,,London,F,In store,2014-01-30T11:15:57.444Z
,,,Denver,M,Online,2013-06-23T00:21:52.769Z
,,,Austin,F,Online,2017-05-07T20:22:21.969Z
,,,Denver,F,In store,2014-08-10T20:19:24.319Z
,,,San Diego,M,Online,2014-10-20T12:08:40.391Z
,,,Seattle,F,In store,2014-01-27T18:32:32.145Z
,,,Seattle,F,In store,2017-09-21T01:37:10.105Z
,,,Seattle,M,Online,2017-03-08T01:05:13.365Z
,,,Austin,F,Online,2017-09-14T07:10:06.288Z
,,,Denver,F,In store,2017-10-31T16:53:17.872Z
,,,Seattle,F,In store,2017-12-03T04:27:40.825Z
,,,Seattle,F,In store,2016-12-15T05:33:15.896Z
,,,Seattle,F,In store,2015-06-16T16:06:19.589Z
,,,Seattle,F,In store,2017-10-03T22:35:53.075Z
,,,Seattle,F,In store,2014-05-26T07:42:14.700Z
,,,Denver,F,In store,2016-06-11T12:02:56.628Z
,,,Seattle,F,In store,2016-11-16T16:46:21.289Z
,,,Seattle,F,Online,2016-12-06T16:02:00.945Z
,,,Denver,F,In store,2015-02-19T03:29:56.406Z
,,,Denver,F,Online,2014-10-22T01:31:20.030Z
,,,Seattle,M,Phone,2015-06-16T15:44:52.874Z
,,,New York,M,In store,2013-11-22T11:48:34.809Z
,,,Seattle,M,Online,2014-12-17T07:35:54.233Z
,,,Austin,M,In store,2015-02-11T15:09:00.631Z
,,,Seattle,M,In store,2013-03-16T01:10:44.884Z
,,,Seattle,F,In store,2017-12-20T02:12:30.784Z
,,,Denver,M,Online,2013-06-07T00:57:15.799Z
,,,Seattle,M,In store,2017-04-07T01:21:02.168Z
,,,London,M,In store,2015-07-20T22:46:19.116Z
,,,London,F,In store,2013-12-02T23:02:43.959Z
,,,Denver,F,Online,2016-03-26T10:04:25.101Z
,,,Denver,M,In store,2017-03-13T12:18:03.448Z
,,,Denver,M,In store,2016-03-22T06:42:53.845Z
,,,Austin,F,Online,2013-05-13T22:12:30.942Z
,,,Denver,M,In store,2014-06-26T01:19:37.399Z
,,,New York,F,In store,2016-08-17T15:19:56.573Z
,,,Denver,F,Online,2016-02-11T21:01:24.993Z
,,,Denver,M,Online,2017-01-29T05:11:18.224Z
,,,Austin,F,In store,2014-09-04T05:35:13.387Z
